"duBedMusM","pm25","id"
821,16.23200035,590
NA,NA,591
380,13.21700001,592
113,22.80800056,593
NA,NA,594
243,NA,595
NA,NA,596
12814,NA,597
6466,19.51600075,598
3257,13.07999992,599
2960,22.88899994,600
NA,NA,601
29277,64.03199768,602
21973,NA,603
18483,85.9980011,604
NA,NA,605
903,18.54500008,606
691,25.37400055,607
5694,25.95299911,608
NA,NA,609
1988,27.30400085,610
NA,NA,611
NA,NA,612
NA,NA,613
NA,NA,614
NA,NA,615
380,9.979999542,616
242,14.39799976,617
35,2.052999973,618
129,2.970999956,619
64,2.96600008,620
NA,26.97900009,621
220,78.73300171,622
666,71.47699738,623
998,16.02799988,624
359,29.41300011,625
7991,9.536000252,626
3405,21.31599998,627
3904,16.01399994,628
1052,33.88299942,629
2715,22.03100014,630
278,29.34000015,631
221,20.53800011,632
NA,NA,633
NA,NA,634
NA,NA,635
1432,17.15699959,636
NA,11.45600033,637
NA,45.14699936,638
NA,10.19299984,639
278,10.88300037,640
NA,NA,641
16100,95.2559967,642
11184,79.46299744,643
6793,14.75699997,644
18110,76.64600372,645
147,8.836000443,646
38,8.765000343,647
NA,9.668000221,648
51,9.590999603,649
55,7.410999775,650
940,72.41000366,651
1108,86.37000275,652
NA,53.45399857,653
NA,20.67700005,654
373,66.90299988,655
26,64.01599884,656
0.01,15.17399979,657
0.01,13.6960001,658
0.01,12.52000046,659
NA,NA,660
2717,37.38999939,661
5987,28.22800064,662
16069,39.84500122,663
2317,27.56200027,664
1467,47.01599884,665
2027,36.99700165,666
3343,79.70500183,667
1133,109.5250015,668
314,51.63600159,669
284,28.75200081,670
5648,16.49600029,671
1554,10.16800022,672
5085,8.069999695,673
2261,7.502999783,674
575,2.828000069,675
17101,39.89899826,676
18244,63.6269989,677
44939,67.8809967,678
19136,34.65399933,679
2148,61.21699905,680
632,198.4629974,681
NA,NA,682
273,12.60499954,683
NA,NA,684
NA,NA,685
2734,27.93899918,686
1871,30.97999954,687
5298,46.50500107,688
980,7.102000237,689
2202,20.86000061,690
1503,19.7310009,691
1151,15.20199966,692
37,15.45400047,693
46,17.35700035,694
416,59.49100113,695
NA,NA,696
819,300.2810059,697
NA,51.01699829,698
4073,55.65399933,699
7368,53.75799942,700
NA,25.45700073,701
NA,26.04400063,702
842,12.54500008,703
1173,7.239999771,704
947,26.72100067,705
3309,10.24400043,706
3470,10.64400005,707
3564,14.81900024,708
2645,28.42200089,709
4842,6.083000183,710
NA,18.05200005,711
45,27.61100006,712
50,15.50599957,713
84,25.97400093,714
114,61.57899857,715
3881,36.95999908,716
NA,NA,717
23962,80.01100159,718
NA,NA,719
NA,NA,720
3799,11.09000015,721
NA,17.79999924,722
248,NA,723
2835,15.76500034,724
4381,5.798999786,725
NA,NA,726
1274,7.426000118,727
142,11.31400013,728
188,18.44799995,729
151,11.43000031,730
3137,21.26199913,731
305,20.6590004,732
1011,19.72200012,733
500,24.53800011,734
893,16.32500076,735
77,9.579999924,736
NA,6.367000103,737
21,6.202000141,738
NA,2.95600009,739
NA,11.01299953,740
NA,22.01199913,741
892,29.56599998,742
NA,11.03999996,743
NA,10.4119997,744
NA,11.57199955,745
185,19.43799973,746
106,45.83000183,747
35,17.12599945,748
113,23.14500046,749
96,26.73200035,750
